,0 to 17,18 to 29,30 to 39,40 to 49,50 to 59,60 to 69,70 to 79,80 +,NR,Female confirmed,Male confirmed,Total
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-03,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-06,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,2.0,3.0,5.0
2020-03-07,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
2020-03-08,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0
2020-03-09,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0
2020-03-10,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
2020-03-11,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0
2020-03-12,0.0,0.0,0.0,1.0,3.0,0.0,2.0,0.0,0.0,1.0,5.0,6.0
2020-03-13,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,4.0
2020-03-14,0.0,4.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,4.0,7.0
2020-03-15,0.0,2.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,5.0,7.0
2020-03-16,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,6.0
2020-03-17,0.0,2.0,1.0,3.0,1.0,2.0,0.0,0.0,0.0,3.0,6.0,9.0
2020-03-18,0.0,9.0,4.0,8.0,2.0,2.0,2.0,0.0,0.0,11.0,16.0,27.0
2020-03-19,0.0,4.0,3.0,3.0,2.0,2.0,0.0,0.0,0.0,5.0,9.0,14.0
2020-03-20,0.0,7.0,3.0,0.0,3.0,3.0,2.0,0.0,0.0,6.0,12.0,18.0
2020-03-21,1.0,11.0,13.0,4.0,10.0,2.0,0.0,0.0,0.0,16.0,25.0,41.0
2020-03-22,0.0,6.0,3.0,5.0,3.0,1.0,3.0,1.0,0.0,9.0,13.0,22.0
2020-03-23,2.0,3.0,7.0,3.0,6.0,1.0,1.0,0.0,0.0,9.0,14.0,23.0
2020-03-24,1.0,10.0,11.0,12.0,9.0,6.0,5.0,3.0,0.0,24.0,33.0,57.0
2020-03-25,8.0,10.0,13.0,11.0,10.0,12.0,8.0,2.0,0.0,27.0,47.0,74.0
2020-03-26,2.0,13.0,14.0,11.0,15.0,10.0,10.0,5.0,0.0,31.0,49.0,80.0
2020-03-27,0.0,9.0,9.0,8.0,7.0,7.0,6.0,2.0,0.0,24.0,24.0,48.0
2020-03-28,1.0,7.0,5.0,8.0,5.0,6.0,1.0,2.0,0.0,15.0,20.0,35.0
2020-03-29,0.0,3.0,10.0,6.0,8.0,4.0,7.0,1.0,0.0,13.0,26.0,39.0
2020-03-30,0.0,4.0,9.0,6.0,7.0,8.0,4.0,0.0,0.0,16.0,22.0,38.0
2020-03-31,1.0,6.0,4.0,8.0,8.0,5.0,7.0,8.0,0.0,17.0,30.0,47.0
2020-04-01,1.0,9.0,11.0,7.0,5.0,8.0,5.0,3.0,0.0,25.0,24.0,49.0
2020-04-02,2.0,7.0,10.0,12.0,13.0,9.0,9.0,3.0,0.0,24.0,41.0,65.0
2020-04-03,0.0,5.0,11.0,16.0,11.0,8.0,9.0,5.0,0.0,28.0,37.0,65.0
2020-04-04,1.0,5.0,10.0,13.0,13.0,9.0,9.0,7.0,0.0,31.0,36.0,67.0
2020-04-05,1.0,3.0,4.0,2.0,10.0,2.0,6.0,5.0,0.0,17.0,16.0,33.0
2020-04-06,1.0,10.0,25.0,7.0,12.0,7.0,2.0,5.0,0.0,38.0,31.0,69.0
2020-04-07,3.0,8.0,4.0,3.0,4.0,4.0,4.0,0.0,0.0,16.0,14.0,30.0
2020-04-08,0.0,5.0,14.0,6.0,9.0,7.0,4.0,6.0,0.0,31.0,20.0,51.0
2020-04-09,1.0,6.0,11.0,9.0,7.0,6.0,4.0,0.0,0.0,19.0,25.0,44.0
2020-04-10,1.0,12.0,15.0,10.0,11.0,6.0,4.0,8.0,0.0,34.0,33.0,67.0
2020-04-11,1.0,0.0,8.0,6.0,3.0,2.0,3.0,4.0,0.0,14.0,13.0,27.0
2020-04-12,1.0,12.0,9.0,5.0,6.0,5.0,2.0,3.0,0.0,25.0,18.0,43.0
2020-04-13,1.0,9.0,7.0,6.0,2.0,2.0,4.0,2.0,0.0,21.0,12.0,33.0
2020-04-14,7.0,8.0,23.0,14.0,13.0,6.0,3.0,5.0,0.0,41.0,38.0,79.0
2020-04-15,6.0,15.0,15.0,13.0,17.0,5.0,6.0,5.0,0.0,51.0,30.0,82.0
2020-04-16,3.0,7.0,18.0,14.0,10.0,3.0,2.0,3.0,0.0,28.0,31.0,60.0
2020-04-17,2.0,11.0,15.0,11.0,7.0,0.0,2.0,2.0,0.0,26.0,24.0,50.0
2020-04-18,3.0,11.0,17.0,15.0,13.0,7.0,9.0,9.0,0.0,53.0,31.0,84.0
2020-04-19,3.0,5.0,9.0,9.0,4.0,5.0,1.0,9.0,0.0,29.0,16.0,45.0
2020-04-20,5.0,9.0,12.0,15.0,7.0,4.0,6.0,5.0,0.0,28.0,35.0,63.0
2020-04-21,10.0,10.0,20.0,18.0,17.0,8.0,8.0,24.0,0.0,62.0,52.0,115.0
2020-04-22,3.0,13.0,23.0,10.0,10.0,8.0,4.0,12.0,0.0,44.0,38.0,83.0
2020-04-23,6.0,17.0,24.0,20.0,14.0,9.0,11.0,17.0,0.0,69.0,49.0,118.0
2020-04-24,15.0,21.0,38.0,18.0,18.0,12.0,9.0,22.0,0.0,82.0,71.0,153.0
2020-04-25,15.0,23.0,23.0,20.0,19.0,7.0,11.0,16.0,0.0,63.0,70.0,134.0
2020-04-26,12.0,12.0,12.0,9.0,4.0,5.0,0.0,9.0,0.0,42.0,21.0,63.0
2020-04-27,6.0,22.0,29.0,17.0,11.0,6.0,5.0,10.0,0.0,71.0,35.0,106.0
2020-04-28,9.0,22.0,25.0,21.0,10.0,3.0,8.0,7.0,0.0,50.0,55.0,105.0
2020-04-29,7.0,26.0,15.0,18.0,13.0,9.0,15.0,13.0,0.0,57.0,57.0,116.0
2020-04-30,3.0,13.0,18.0,15.0,10.0,3.0,8.0,5.0,0.0,43.0,31.0,75.0
2020-05-01,10.0,12.0,23.0,13.0,13.0,7.0,9.0,18.0,0.0,54.0,51.0,105.0
2020-05-02,17.0,20.0,15.0,12.0,8.0,3.0,2.0,7.0,1.0,44.0,41.0,85.0
2020-05-03,14.0,16.0,18.0,6.0,4.0,5.0,3.0,6.0,0.0,37.0,34.0,72.0
2020-05-04,15.0,22.0,28.0,14.0,10.0,4.0,2.0,4.0,0.0,45.0,54.0,99.0
2020-05-05,14.0,38.0,38.0,27.0,21.0,6.0,3.0,7.0,0.0,72.0,82.0,154.0
2020-05-06,25.0,32.0,42.0,32.0,15.0,6.0,3.0,7.0,0.0,83.0,79.0,162.0
2020-05-07,25.0,45.0,38.0,27.0,17.0,7.0,8.0,26.0,0.0,107.0,86.0,193.0
2020-05-08,20.0,23.0,48.0,29.0,15.0,17.0,9.0,16.0,0.0,88.0,89.0,177.0
2020-05-09,39.0,43.0,41.0,32.0,21.0,13.0,8.0,6.0,0.0,90.0,113.0,203.0
2020-05-10,21.0,28.0,35.0,35.0,17.0,16.0,7.0,1.0,0.0,79.0,81.0,160.0
2020-05-11,23.0,44.0,55.0,49.0,36.0,15.0,2.0,2.0,0.0,82.0,144.0,226.0
2020-05-12,38.0,50.0,71.0,34.0,23.0,20.0,16.0,7.0,0.0,134.0,125.0,259.0
2020-05-13,41.0,69.0,65.0,45.0,32.0,19.0,11.0,7.0,0.0,128.0,161.0,289.0
2020-05-14,45.0,53.0,58.0,42.0,30.0,22.0,3.0,9.0,0.0,137.0,125.0,262.0
2020-05-15,68.0,75.0,71.0,67.0,55.0,8.0,8.0,10.0,0.0,177.0,183.0,362.0
2020-05-16,53.0,64.0,57.0,51.0,30.0,18.0,7.0,8.0,0.0,147.0,139.0,288.0
2020-05-17,33.0,42.0,45.0,34.0,23.0,14.0,8.0,4.0,1.0,92.0,112.0,204.0
2020-05-18,29.0,58.0,88.0,64.0,45.0,22.0,11.0,18.0,0.0,147.0,186.0,335.0
2020-05-19,72.0,113.0,101.0,77.0,63.0,23.0,13.0,24.0,2.0,254.0,230.0,488.0
2020-05-20,81.0,131.0,121.0,96.0,71.0,34.0,14.0,16.0,0.0,265.0,298.0,564.0
2020-05-21,115.0,163.0,157.0,117.0,86.0,30.0,15.0,17.0,3.0,324.0,374.0,703.0
2020-05-22,118.0,181.0,166.0,142.0,85.0,38.0,21.0,20.0,2.0,384.0,387.0,773.0
2020-05-23,81.0,119.0,130.0,104.0,66.0,45.0,17.0,19.0,1.0,292.0,288.0,582.0
2020-05-24,78.0,134.0,101.0,71.0,51.0,25.0,11.0,15.0,1.0,239.0,247.0,487.0
2020-05-25,88.0,104.0,117.0,102.0,60.0,21.0,15.0,17.0,0.0,273.0,248.0,524.0
2020-05-26,93.0,146.0,152.0,88.0,71.0,33.0,24.0,12.0,0.0,301.0,314.0,619.0
2020-05-27,90.0,158.0,140.0,112.0,86.0,43.0,16.0,18.0,1.0,333.0,327.0,664.0
2020-05-28,101.0,185.0,137.0,126.0,80.0,41.0,29.0,28.0,0.0,361.0,363.0,727.0
2020-05-29,127.0,174.0,157.0,104.0,87.0,42.0,27.0,60.0,0.0,431.0,344.0,778.0
2020-05-30,97.0,136.0,159.0,100.0,73.0,35.0,28.0,35.0,0.0,329.0,329.0,663.0
2020-05-31,100.0,121.0,114.0,89.0,48.0,25.0,7.0,12.0,1.0,267.0,248.0,517.0
2020-06-01,88.0,162.0,171.0,148.0,112.0,46.0,31.0,29.0,0.0,387.0,400.0,787.0
2020-06-02,116.0,199.0,190.0,149.0,94.0,47.0,33.0,57.0,1.0,448.0,436.0,886.0
2020-06-03,130.0,190.0,188.0,129.0,107.0,52.0,26.0,37.0,1.0,430.0,425.0,860.0
2020-06-04,114.0,166.0,180.0,137.0,92.0,48.0,37.0,27.0,5.0,389.0,409.0,806.0
2020-06-05,140.0,209.0,219.0,147.0,99.0,54.0,26.0,24.0,0.0,448.0,465.0,918.0
2020-06-06,154.0,242.0,228.0,181.0,101.0,62.0,39.0,37.0,2.0,527.0,512.0,1046.0
2020-06-07,68.0,114.0,105.0,90.0,67.0,27.0,20.0,36.0,1.0,296.0,229.0,528.0
2020-06-08,152.0,199.0,201.0,145.0,117.0,67.0,39.0,43.0,1.0,497.0,459.0,964.0
2020-06-09,158.0,258.0,319.0,211.0,167.0,75.0,43.0,53.0,0.0,608.0,671.0,1284.0
2020-06-10,143.0,230.0,263.0,252.0,178.0,76.0,48.0,43.0,2.0,623.0,606.0,1235.0
2020-06-11,163.0,378.0,297.0,255.0,189.0,75.0,53.0,61.0,0.0,738.0,720.0,1471.0
2020-06-12,173.0,321.0,353.0,291.0,168.0,100.0,48.0,44.0,3.0,704.0,789.0,1501.0
2020-06-13,182.0,316.0,304.0,263.0,154.0,92.0,39.0,35.0,0.0,672.0,709.0,1385.0
2020-06-14,118.0,181.0,227.0,175.0,106.0,64.0,39.0,47.0,1.0,474.0,478.0,958.0
2020-06-15,156.0,286.0,239.0,225.0,148.0,73.0,39.0,43.0,0.0,588.0,617.0,1209.0
2020-06-16,195.0,371.0,362.0,272.0,163.0,107.0,55.0,49.0,2.0,762.0,803.0,1576.0
2020-06-17,197.0,390.0,409.0,337.0,258.0,115.0,43.0,53.0,1.0,858.0,939.0,1803.0
2020-06-18,194.0,399.0,452.0,374.0,256.0,109.0,59.0,60.0,2.0,937.0,962.0,1905.0
2020-06-19,227.0,422.0,465.0,354.0,216.0,112.0,81.0,80.0,0.0,958.0,994.0,1957.0
2020-06-20,232.0,534.0,448.0,389.0,252.0,132.0,108.0,139.0,0.0,1153.0,1073.0,2234.0
2020-06-21,186.0,284.0,316.0,230.0,166.0,101.0,35.0,57.0,0.0,663.0,708.0,1375.0
2020-06-22,284.0,455.0,504.0,349.0,254.0,125.0,65.0,61.0,2.0,1042.0,1050.0,2099.0
2020-06-23,244.0,553.0,584.0,424.0,303.0,137.0,91.0,100.0,0.0,1220.0,1207.0,2436.0
2020-06-24,203.0,536.0,498.0,463.0,326.0,170.0,92.0,82.0,1.0,1107.0,1257.0,2371.0
2020-06-25,273.0,632.0,593.0,509.0,334.0,164.0,86.0,162.0,3.0,1355.0,1392.0,2756.0
2020-06-26,300.0,616.0,675.0,500.0,344.0,171.0,91.0,120.0,0.0,1395.0,1410.0,2817.0
2020-06-27,211.0,503.0,509.0,400.0,268.0,148.0,74.0,85.0,0.0,1077.0,1112.0,2198.0
2020-06-28,186.0,412.0,351.0,320.0,208.0,104.0,56.0,69.0,0.0,859.0,844.0,1706.0
2020-06-29,213.0,503.0,506.0,405.0,257.0,132.0,67.0,73.0,1.0,1050.0,1101.0,2157.0
2020-06-30,222.0,600.0,593.0,503.0,373.0,185.0,96.0,106.0,0.0,1280.0,1387.0,2678.0
2020-07-01,221.0,611.0,615.0,477.0,317.0,157.0,111.0,105.0,0.0,1228.0,1379.0,2614.0
2020-07-02,242.0,619.0,643.0,471.0,330.0,190.0,113.0,90.0,2.0,1361.0,1328.0,2700.0
2020-07-03,314.0,697.0,739.0,567.0,424.0,214.0,131.0,125.0,1.0,1564.0,1633.0,3212.0
2020-07-04,249.0,689.0,704.0,576.0,416.0,197.0,124.0,182.0,2.0,1573.0,1553.0,3139.0
2020-07-05,186.0,372.0,399.0,348.0,229.0,123.0,97.0,83.0,1.0,931.0,902.0,1838.0
2020-07-06,225.0,534.0,634.0,518.0,359.0,209.0,117.0,124.0,1.0,1289.0,1426.0,2721.0
