,0 to 17,18 to 29,30 to 39,40 to 49,50 to 59,60 to 69,70 to 79,80 +,NR,Female confirmed,Male confirmed,Total
2020-03-01,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-03,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0
2020-03-04,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0
2020-03-05,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0
2020-03-06,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0
2020-03-07,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,3.0,2.0,5.0
2020-03-08,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
2020-03-09,0.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,6.0,6.0
2020-03-10,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0
2020-03-11,0.0,4.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,8.0,10.0
2020-03-12,0.0,4.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,7.0,5.0,12.0
2020-03-13,0.0,6.0,2.0,2.0,1.0,3.0,0.0,0.0,0.0,5.0,9.0,14.0
2020-03-14,0.0,5.0,0.0,6.0,1.0,1.0,0.0,0.0,0.0,4.0,9.0,13.0
2020-03-15,0.0,6.0,3.0,3.0,1.0,0.0,2.0,0.0,0.0,4.0,11.0,15.0
2020-03-16,0.0,3.0,1.0,2.0,0.0,3.0,2.0,0.0,0.0,4.0,7.0,11.0
2020-03-17,2.0,7.0,7.0,3.0,4.0,5.0,1.0,0.0,0.0,11.0,18.0,29.0
2020-03-18,0.0,5.0,3.0,4.0,9.0,3.0,1.0,0.0,0.0,11.0,14.0,25.0
2020-03-19,1.0,2.0,5.0,4.0,2.0,2.0,6.0,1.0,0.0,7.0,16.0,23.0
2020-03-20,1.0,4.0,7.0,9.0,1.0,6.0,3.0,0.0,0.0,11.0,20.0,31.0
2020-03-21,1.0,5.0,5.0,6.0,6.0,8.0,1.0,1.0,0.0,16.0,17.0,33.0
2020-03-22,0.0,3.0,12.0,6.0,6.0,7.0,6.0,2.0,0.0,14.0,28.0,42.0
2020-03-23,2.0,11.0,13.0,8.0,9.0,3.0,4.0,2.0,0.0,23.0,29.0,52.0
2020-03-24,0.0,10.0,9.0,6.0,3.0,3.0,4.0,3.0,0.0,16.0,22.0,38.0
2020-03-25,2.0,6.0,4.0,6.0,10.0,2.0,3.0,4.0,0.0,12.0,25.0,37.0
2020-03-26,0.0,2.0,3.0,8.0,8.0,7.0,5.0,1.0,0.0,13.0,21.0,34.0
2020-03-27,1.0,1.0,9.0,7.0,6.0,8.0,7.0,5.0,0.0,20.0,24.0,44.0
2020-03-28,0.0,5.0,8.0,7.0,8.0,5.0,4.0,1.0,0.0,11.0,27.0,38.0
2020-03-29,0.0,3.0,11.0,7.0,7.0,7.0,8.0,0.0,0.0,16.0,27.0,43.0
2020-03-30,2.0,6.0,6.0,8.0,12.0,4.0,9.0,6.0,0.0,18.0,35.0,53.0
2020-03-31,2.0,4.0,4.0,5.0,6.0,7.0,11.0,5.0,0.0,16.0,28.0,44.0
2020-04-01,0.0,8.0,9.0,4.0,8.0,6.0,5.0,4.0,0.0,17.0,27.0,44.0
2020-04-02,0.0,6.0,13.0,6.0,9.0,8.0,9.0,11.0,0.0,32.0,30.0,62.0
2020-04-03,2.0,2.0,6.0,10.0,6.0,6.0,2.0,5.0,0.0,22.0,17.0,39.0
2020-04-04,0.0,2.0,4.0,5.0,5.0,3.0,7.0,3.0,0.0,16.0,13.0,29.0
2020-04-05,1.0,6.0,3.0,8.0,6.0,4.0,4.0,2.0,0.0,15.0,19.0,34.0
2020-04-06,1.0,6.0,10.0,2.0,6.0,4.0,7.0,3.0,0.0,19.0,20.0,39.0
2020-04-07,0.0,4.0,8.0,6.0,3.0,3.0,1.0,1.0,0.0,17.0,9.0,26.0
2020-04-08,4.0,7.0,12.0,2.0,5.0,4.0,3.0,3.0,0.0,25.0,15.0,40.0
2020-04-09,0.0,3.0,3.0,4.0,4.0,3.0,3.0,0.0,0.0,10.0,10.0,20.0
2020-04-10,3.0,2.0,6.0,7.0,1.0,4.0,3.0,2.0,0.0,17.0,11.0,28.0
2020-04-11,1.0,6.0,7.0,8.0,4.0,2.0,1.0,2.0,0.0,15.0,15.0,31.0
2020-04-12,0.0,8.0,4.0,9.0,3.0,2.0,2.0,2.0,0.0,17.0,13.0,30.0
2020-04-13,1.0,2.0,8.0,3.0,6.0,5.0,5.0,9.0,0.0,24.0,15.0,39.0
2020-04-14,0.0,5.0,12.0,3.0,6.0,3.0,5.0,7.0,0.0,18.0,22.0,41.0
2020-04-15,1.0,9.0,6.0,6.0,8.0,5.0,3.0,2.0,0.0,22.0,18.0,40.0
2020-04-16,3.0,4.0,7.0,8.0,4.0,1.0,1.0,7.0,0.0,25.0,10.0,35.0
2020-04-17,1.0,10.0,12.0,7.0,7.0,9.0,2.0,4.0,0.0,32.0,20.0,52.0
2020-04-18,1.0,5.0,9.0,13.0,7.0,1.0,3.0,12.0,0.0,31.0,20.0,51.0
2020-04-19,4.0,5.0,10.0,8.0,8.0,5.0,5.0,12.0,0.0,35.0,21.0,57.0
2020-04-20,2.0,9.0,12.0,12.0,10.0,6.0,2.0,10.0,0.0,29.0,34.0,63.0
2020-04-21,2.0,8.0,8.0,4.0,7.0,5.0,5.0,26.0,0.0,36.0,29.0,65.0
2020-04-22,1.0,8.0,11.0,10.0,5.0,7.0,12.0,35.0,0.0,55.0,33.0,89.0
2020-04-23,7.0,15.0,16.0,11.0,9.0,10.0,4.0,8.0,0.0,40.0,40.0,80.0
2020-04-24,7.0,8.0,12.0,6.0,5.0,5.0,6.0,9.0,0.0,30.0,28.0,58.0
2020-04-25,5.0,7.0,9.0,6.0,2.0,7.0,5.0,5.0,0.0,22.0,24.0,46.0
2020-04-26,3.0,5.0,8.0,7.0,3.0,4.0,1.0,4.0,0.0,17.0,18.0,35.0
2020-04-27,2.0,5.0,14.0,12.0,5.0,5.0,10.0,5.0,0.0,29.0,29.0,58.0
2020-04-28,2.0,5.0,9.0,7.0,4.0,7.0,3.0,6.0,0.0,18.0,25.0,43.0
2020-04-29,0.0,4.0,11.0,2.0,7.0,4.0,4.0,8.0,0.0,30.0,9.0,40.0
2020-04-30,7.0,9.0,8.0,11.0,9.0,4.0,1.0,5.0,0.0,26.0,28.0,54.0
2020-05-01,4.0,3.0,8.0,2.0,8.0,3.0,5.0,13.0,1.0,25.0,22.0,47.0
2020-05-02,10.0,14.0,10.0,6.0,1.0,3.0,1.0,9.0,0.0,30.0,23.0,54.0
2020-05-03,2.0,11.0,6.0,4.0,3.0,4.0,0.0,1.0,0.0,12.0,19.0,31.0
2020-05-04,11.0,5.0,13.0,5.0,11.0,4.0,5.0,8.0,0.0,25.0,37.0,62.0
2020-05-05,11.0,14.0,14.0,21.0,9.0,7.0,1.0,5.0,0.0,45.0,37.0,82.0
2020-05-06,8.0,16.0,10.0,13.0,13.0,3.0,3.0,7.0,0.0,37.0,36.0,73.0
2020-05-07,8.0,18.0,16.0,17.0,7.0,9.0,6.0,19.0,0.0,59.0,41.0,100.0
2020-05-08,27.0,17.0,21.0,16.0,13.0,11.0,5.0,4.0,0.0,58.0,56.0,114.0
2020-05-09,9.0,6.0,19.0,13.0,15.0,10.0,10.0,5.0,0.0,42.0,45.0,87.0
2020-05-10,4.0,12.0,10.0,10.0,8.0,11.0,5.0,3.0,0.0,26.0,37.0,63.0
2020-05-11,23.0,24.0,32.0,17.0,13.0,11.0,11.0,3.0,0.0,67.0,67.0,134.0
