,Total Tests,Positive Tests,Tests Rate (%)
2020-03-01,0.0,0.0,0.0
2020-03-02,5.0,0.0,0.0
2020-03-03,8.0,1.0,0.125
2020-03-04,6.0,0.0,0.0
2020-03-05,7.0,0.0,0.0
2020-03-06,11.0,7.0,0.6364
2020-03-07,9.0,1.0,0.1111
2020-03-08,28.0,3.0,0.1071
2020-03-09,14.0,7.0,0.5
2020-03-10,28.0,2.0,0.0714
2020-03-11,34.0,5.0,0.1471
2020-03-12,47.0,12.0,0.2553
2020-03-13,86.0,7.0,0.0814
2020-03-14,49.0,7.0,0.1429
2020-03-15,81.0,11.0,0.1358
2020-03-16,106.0,12.0,0.1132
2020-03-17,128.0,20.0,0.1562
2020-03-18,202.0,37.0,0.1832
2020-03-19,151.0,27.0,0.1788
2020-03-20,224.0,32.0,0.1429
2020-03-21,289.0,71.0,0.2457
2020-03-22,184.0,52.0,0.2826
2020-03-23,214.0,39.0,0.1822
2020-03-24,313.0,101.0,0.3227
2020-03-25,382.0,125.0,0.3272
2020-03-26,421.0,140.0,0.3325
2020-03-27,370.0,93.0,0.2514
2020-03-28,306.0,61.0,0.1993
2020-03-29,465.0,91.0,0.1957
2020-03-30,428.0,76.0,0.1776
2020-03-31,419.0,63.0,0.1504
2020-04-01,635.0,109.0,0.1717
2020-04-02,848.0,133.0,0.1568
2020-04-03,1012.0,119.0,0.1176
2020-04-04,862.0,114.0,0.1323
2020-04-05,616.0,59.0,0.0958
2020-04-06,703.0,104.0,0.1479
2020-04-07,924.0,59.0,0.0639
2020-04-08,1003.0,106.0,0.1057
2020-04-09,1021.0,93.0,0.0911
2020-04-10,957.0,142.0,0.1484
2020-04-11,775.0,61.0,0.0787
2020-04-12,593.0,67.0,0.113
2020-04-13,799.0,70.0,0.0876
2020-04-14,1026.0,128.0,0.1248
2020-04-15,1208.0,161.0,0.1333
2020-04-16,1233.0,113.0,0.0916
2020-04-17,1291.0,90.0,0.0697
2020-04-18,1143.0,127.0,0.1111
2020-04-19,828.0,61.0,0.0737
2020-04-20,1269.0,104.0,0.082
2020-04-21,1804.0,180.0,0.0998
2020-04-22,1593.0,139.0,0.0873
2020-04-23,1594.0,179.0,0.1123
2020-04-24,1868.0,217.0,0.1162
2020-04-25,1605.0,205.0,0.1277
2020-04-26,1058.0,88.0,0.0832
2020-04-27,1359.0,156.0,0.1148
2020-04-28,1835.0,163.0,0.0888
2020-04-29,1915.0,193.0,0.1008
2020-04-30,1687.0,163.0,0.0966
2020-05-01,1471.0,151.0,0.1027
2020-05-02,1165.0,137.0,0.1176
2020-05-03,769.0,110.0,0.143
2020-05-04,1539.0,150.0,0.0975
2020-05-05,1888.0,255.0,0.1351
2020-05-06,1856.0,284.0,0.153
2020-05-07,1730.0,280.0,0.1618
2020-05-08,1722.0,270.0,0.1568
2020-05-09,1511.0,259.0,0.1714
2020-05-10,1051.0,196.0,0.1865
2020-05-11,1776.0,293.0,0.165
2020-05-12,2117.0,350.0,0.1653
2020-05-13,2092.0,372.0,0.1778
2020-05-14,2089.0,345.0,0.1652
2020-05-15,2345.0,470.0,0.2004
2020-05-16,1781.0,363.0,0.2038
2020-05-17,1333.0,243.0,0.1823
2020-05-18,2323.0,409.0,0.1761
2020-05-19,3005.0,591.0,0.1967
2020-05-20,3054.0,681.0,0.223
2020-05-21,3278.0,800.0,0.2441
2020-05-22,3311.0,914.0,0.276
2020-05-23,2739.0,721.0,0.2632
2020-05-24,1932.0,532.0,0.2754
2020-05-25,2392.0,588.0,0.2458
2020-05-26,3076.0,761.0,0.2474
2020-05-27,3500.0,813.0,0.2323
2020-05-28,3581.0,887.0,0.2477
2020-05-29,4188.0,991.0,0.2366
2020-05-30,3178.0,788.0,0.248
2020-05-31,2219.0,587.0,0.2645
2020-06-01,3443.0,928.0,0.2695
2020-06-02,3792.0,1063.0,0.2803
2020-06-03,4304.0,1090.0,0.2533
2020-06-04,4181.0,1057.0,0.2528
2020-06-05,4418.0,1120.0,0.2535
2020-06-06,3983.0,1272.0,0.3194
2020-06-07,2147.0,609.0,0.2837
2020-06-08,4087.0,1133.0,0.2772
2020-06-09,4929.0,1550.0,0.3145
2020-06-10,4932.0,1516.0,0.3074
2020-06-11,5684.0,1758.0,0.3093
2020-06-12,6042.0,1862.0,0.3082
2020-06-13,5590.0,1628.0,0.2912
2020-06-14,3444.0,1126.0,0.3269
2020-06-15,4173.0,1403.0,0.3362
2020-06-16,5291.0,1818.0,0.3436
2020-06-17,6380.0,2100.0,0.3292
2020-06-18,7008.0,2264.0,0.3231
2020-06-19,6807.0,2323.0,0.3413
2020-06-20,6957.0,2604.0,0.3743
2020-06-21,4245.0,1543.0,0.3635
2020-06-22,6475.0,2373.0,0.3665
2020-06-23,7867.0,2834.0,0.3602
2020-06-24,7523.0,2694.0,0.3581
2020-06-25,8250.0,3143.0,0.381
2020-06-26,8625.0,3286.0,0.381
2020-06-27,7165.0,2496.0,0.3484
2020-06-28,4827.0,1916.0,0.3969
2020-06-29,7161.0,2438.0,0.3405
2020-06-30,7890.0,3078.0,0.3901
2020-07-01,7947.0,3026.0,0.3808
2020-07-02,8060.0,3034.0,0.3764
2020-07-03,8654.0,3557.0,0.411
2020-07-04,8360.0,3396.0,0.4062
2020-07-05,4764.0,1975.0,0.4146
2020-07-06,7454.0,2938.0,0.3942
2020-07-07,8472.0,3569.0,0.4213
2020-07-08,9872.0,4291.0,0.4347
2020-07-09,8858.0,3720.0,0.42
2020-07-10,8165.0,3604.0,0.4414
2020-07-11,7758.0,3305.0,0.426
2020-07-12,4670.0,2066.0,0.4424
2020-07-13,8290.0,3488.0,0.4207
2020-07-14,10066.0,4203.0,0.4175
2020-07-15,10172.0,4273.0,0.4201
2020-07-16,10057.0,4525.0,0.4499
2020-07-17,11539.0,4802.0,0.4162
2020-07-18,9704.0,4498.0,0.4635
2020-07-19,6783.0,2935.0,0.4327
2020-07-20,10504.0,4648.0,0.4425
2020-07-21,11726.0,5485.0,0.4678
2020-07-22,12573.0,5636.0,0.4483
2020-07-23,12505.0,5743.0,0.4593
2020-07-24,13736.0,6378.0,0.4643
2020-07-25,10541.0,4689.0,0.4448
2020-07-26,7034.0,3390.0,0.4819
2020-07-27,11326.0,5002.0,0.4416
2020-07-28,13300.0,5834.0,0.4386
2020-07-29,13912.0,6125.0,0.4403
2020-07-30,13109.0,5797.0,0.4422
2020-07-31,14309.0,6602.0,0.4614
2020-08-01,10436.0,4802.0,0.4601
2020-08-02,9155.0,4190.0,0.4577
2020-08-03,12391.0,5828.0,0.4703
2020-08-04,14523.0,6688.0,0.4605
2020-08-05,15712.0,7711.0,0.4908
2020-08-06,15353.0,7045.0,0.4589
2020-08-07,15991.0,7341.0,0.4591
2020-08-08,13386.0,5806.0,0.4337
2020-08-09,8299.0,3871.0,0.4664
2020-08-10,14229.0,5878.0,0.4131
2020-08-11,15927.0,6267.0,0.3935
2020-08-12,16431.0,6339.0,0.3858
2020-08-13,16180.0,6316.0,0.3904
2020-08-14,16792.0,6006.0,0.3577
2020-08-15,13743.0,5443.0,0.3961
2020-08-16,7232.0,2687.0,0.3715
2020-08-17,10266.0,4336.0,0.4224
2020-08-18,13245.0,5547.0,0.4188
2020-08-19,15404.0,6770.0,0.4395
2020-08-20,15833.0,7263.0,0.4587
2020-08-21,16107.0,6644.0,0.4125
2020-08-22,13456.0,5981.0,0.4445
2020-08-23,8278.0,3370.0,0.4071
2020-08-24,14329.0,6476.0,0.452
2020-08-25,16595.0,7277.0,0.4385
2020-08-26,17592.0,8032.0,0.4566
2020-08-27,18087.0,8429.0,0.466
2020-08-28,17015.0,7625.0,0.4481
2020-08-29,13941.0,6342.0,0.4549
2020-08-30,10353.0,4460.0,0.4308
2020-08-31,14540.0,6741.0,0.4636
2020-09-01,16639.0,7490.0,0.4501
2020-09-02,16076.0,7445.0,0.4631
2020-09-03,16248.0,6902.0,0.4248
2020-09-04,15931.0,6443.0,0.4044
2020-09-05,15296.0,6086.0,0.3979
2020-09-06,8885.0,3479.0,0.3916
2020-09-07,15621.0,6403.0,0.4099
2020-09-08,17374.0,7643.0,0.4399
2020-09-09,18888.0,7742.0,0.4099
2020-09-10,17754.0,6862.0,0.3865
2020-09-11,18725.0,7497.0,0.4004
2020-09-12,13303.0,5862.0,0.4407
2020-09-13,8208.0,3391.0,0.4131
2020-09-14,14958.0,5893.0,0.394
2020-09-15,15894.0,6427.0,0.4044
2020-09-16,17336.0,6578.0,0.3794
2020-09-17,16834.0,6719.0,0.3991
2020-09-18,16463.0,6168.0,0.3747
2020-09-19,12473.0,4844.0,0.3884
2020-09-20,7063.0,2529.0,0.3581
2020-09-21,12287.0,4829.0,0.393
2020-09-22,14363.0,5486.0,0.382
2020-09-23,15187.0,6073.0,0.3999
2020-09-24,15041.0,6014.0,0.3998
2020-09-25,14623.0,5921.0,0.4049
2020-09-26,11110.0,4738.0,0.4265
2020-09-27,7397.0,2693.0,0.3641
2020-09-28,11604.0,4983.0,0.4294
2020-09-29,15029.0,6409.0,0.4264
2020-09-30,14244.0,5582.0,0.3919
2020-10-01,14194.0,5662.0,0.3989
2020-10-02,15073.0,5591.0,0.3709
2020-10-03,10561.0,4367.0,0.4135
2020-10-04,6122.0,2085.0,0.3406
2020-10-05,12163.0,4569.0,0.3756
2020-10-06,14328.0,5357.0,0.3739
2020-10-07,13296.0,5033.0,0.3785
2020-10-08,13909.0,5198.0,0.3737
2020-10-09,13965.0,5183.0,0.3711
2020-10-10,10391.0,4049.0,0.3897
