,0 to 17,18 to 29,30 to 39,40 to 49,50 to 59,60 to 69,70 to 79,80 +,NR,Female confirmed,Male confirmed,Total
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-05,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-13,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2020-03-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-17,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2020-03-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-19,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0
2020-03-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-24,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2020-03-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-26,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2020-03-27,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,3.0,4.0
2020-03-28,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
2020-03-29,0.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,4.0,6.0
2020-03-30,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,3.0
2020-03-31,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0,3.0
2020-04-01,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2020-04-02,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,5.0
2020-04-03,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0
2020-04-04,0.0,2.0,3.0,4.0,2.0,1.0,3.0,0.0,0.0,5.0,10.0,15.0
2020-04-05,10.0,60.0,119.0,121.0,105.0,58.0,30.0,12.0,0.0,190.0,325.0,515.0
2020-04-06,3.0,27.0,45.0,49.0,35.0,25.0,11.0,2.0,0.0,86.0,111.0,197.0
2020-04-07,8.0,24.0,31.0,30.0,41.0,15.0,9.0,3.0,0.0,65.0,96.0,161.0
2020-04-08,1.0,22.0,50.0,46.0,33.0,29.0,8.0,6.0,0.0,65.0,130.0,195.0
2020-04-09,5.0,11.0,22.0,17.0,14.0,16.0,5.0,0.0,0.0,40.0,50.0,90.0
2020-04-10,1.0,24.0,26.0,26.0,33.0,28.0,3.0,3.0,0.0,61.0,83.0,144.0
2020-04-11,2.0,8.0,19.0,20.0,17.0,7.0,3.0,2.0,0.0,32.0,46.0,78.0
2020-04-12,0.0,6.0,14.0,19.0,18.0,12.0,3.0,1.0,0.0,23.0,50.0,73.0
2020-04-13,4.0,29.0,45.0,62.0,53.0,24.0,18.0,8.0,0.0,105.0,138.0,243.0
2020-04-14,8.0,26.0,54.0,61.0,49.0,23.0,10.0,4.0,0.0,100.0,135.0,235.0
2020-04-15,3.0,27.0,54.0,62.0,54.0,29.0,14.0,12.0,0.0,113.0,142.0,255.0
2020-04-16,1.0,31.0,59.0,75.0,61.0,49.0,13.0,14.0,0.0,129.0,174.0,303.0
2020-04-17,1.0,32.0,85.0,74.0,62.0,38.0,21.0,4.0,0.0,136.0,181.0,317.0
2020-04-18,4.0,12.0,19.0,20.0,14.0,12.0,6.0,0.0,0.0,38.0,49.0,87.0
2020-04-19,2.0,12.0,20.0,29.0,28.0,19.0,14.0,4.0,0.0,54.0,74.0,128.0
2020-04-20,4.0,56.0,77.0,79.0,86.0,62.0,17.0,8.0,0.0,170.0,219.0,389.0
2020-04-21,10.0,70.0,100.0,93.0,76.0,48.0,16.0,9.0,0.0,156.0,266.0,422.0
2020-04-22,9.0,45.0,104.0,123.0,93.0,53.0,24.0,11.0,0.0,187.0,275.0,462.0
2020-04-23,5.0,34.0,83.0,103.0,93.0,60.0,34.0,15.0,0.0,178.0,249.0,427.0
2020-04-24,16.0,58.0,125.0,116.0,112.0,74.0,26.0,9.0,0.0,249.0,287.0,536.0
2020-04-25,1.0,33.0,45.0,56.0,44.0,25.0,12.0,4.0,0.0,86.0,134.0,220.0
2020-04-26,4.0,12.0,29.0,33.0,32.0,23.0,11.0,13.0,0.0,70.0,87.0,157.0
2020-04-27,9.0,55.0,130.0,142.0,116.0,81.0,38.0,14.0,0.0,242.0,343.0,585.0
2020-04-28,9.0,68.0,117.0,135.0,121.0,42.0,21.0,8.0,0.0,209.0,312.0,521.0
2020-04-29,13.0,77.0,132.0,157.0,137.0,85.0,30.0,12.0,0.0,260.0,383.0,643.0
2020-04-30,17.0,37.0,129.0,122.0,115.0,73.0,26.0,9.0,0.0,228.0,300.0,528.0
2020-05-01,0.0,25.0,31.0,63.0,38.0,38.0,20.0,5.0,0.0,81.0,139.0,220.0
2020-05-02,9.0,26.0,42.0,59.0,51.0,31.0,18.0,5.0,0.0,108.0,133.0,241.0
2020-05-03,5.0,14.0,44.0,40.0,46.0,38.0,17.0,5.0,0.0,76.0,133.0,209.0
2020-05-04,8.0,82.0,147.0,169.0,147.0,84.0,36.0,6.0,0.0,314.0,365.0,679.0
2020-05-05,10.0,65.0,140.0,121.0,116.0,51.0,32.0,10.0,0.0,237.0,308.0,545.0
2020-05-06,15.0,77.0,147.0,130.0,130.0,62.0,26.0,10.0,0.0,267.0,330.0,597.0
2020-05-07,21.0,90.0,151.0,158.0,123.0,80.0,24.0,11.0,0.0,312.0,346.0,658.0
2020-05-08,21.0,103.0,203.0,203.0,158.0,89.0,46.0,12.0,0.0,399.0,436.0,835.0
2020-05-09,9.0,28.0,59.0,74.0,65.0,38.0,33.0,8.0,0.0,141.0,173.0,314.0
2020-05-10,3.0,19.0,42.0,40.0,35.0,39.0,13.0,4.0,0.0,83.0,112.0,195.0
2020-05-11,18.0,90.0,188.0,189.0,158.0,90.0,41.0,17.0,0.0,365.0,426.0,791.0
2020-05-12,19.0,122.0,174.0,202.0,166.0,125.0,46.0,23.0,0.0,414.0,463.0,877.0
2020-05-13,23.0,139.0,213.0,211.0,193.0,123.0,67.0,31.0,0.0,450.0,550.0,1000.0
2020-05-14,17.0,112.0,191.0,195.0,190.0,104.0,51.0,22.0,0.0,397.0,485.0,882.0
2020-05-15,26.0,131.0,237.0,268.0,195.0,132.0,55.0,25.0,0.0,494.0,575.0,1069.0
2020-05-16,17.0,43.0,77.0,78.0,92.0,57.0,31.0,17.0,0.0,187.0,225.0,412.0
2020-05-17,9.0,21.0,60.0,51.0,51.0,48.0,24.0,11.0,0.0,115.0,160.0,275.0
2020-05-18,18.0,127.0,237.0,267.0,210.0,117.0,64.0,17.0,0.0,483.0,574.0,1057.0
2020-05-19,29.0,144.0,243.0,243.0,191.0,143.0,51.0,24.0,0.0,490.0,578.0,1068.0
2020-05-20,37.0,137.0,241.0,243.0,224.0,130.0,63.0,45.0,0.0,526.0,594.0,1120.0
2020-05-21,22.0,150.0,287.0,231.0,196.0,124.0,60.0,37.0,0.0,496.0,611.0,1107.0
2020-05-22,26.0,146.0,241.0,258.0,190.0,138.0,57.0,40.0,0.0,513.0,583.0,1096.0
2020-05-23,8.0,37.0,75.0,77.0,59.0,40.0,29.0,19.0,0.0,166.0,178.0,344.0
2020-05-24,5.0,29.0,51.0,52.0,57.0,45.0,24.0,12.0,0.0,109.0,166.0,275.0
2020-05-25,32.0,142.0,252.0,297.0,229.0,141.0,63.0,34.0,0.0,538.0,652.0,1190.0
2020-05-26,34.0,147.0,256.0,292.0,220.0,151.0,91.0,37.0,0.0,547.0,681.0,1228.0
2020-05-27,45.0,199.0,287.0,282.0,255.0,147.0,66.0,32.0,0.0,626.0,687.0,1313.0
2020-05-28,29.0,121.0,216.0,213.0,174.0,106.0,64.0,31.0,0.0,468.0,486.0,954.0
2020-05-29,29.0,125.0,231.0,198.0,165.0,149.0,60.0,26.0,0.0,471.0,512.0,983.0
2020-05-30,17.0,64.0,95.0,119.0,108.0,58.0,40.0,19.0,0.0,238.0,282.0,520.0
2020-05-31,11.0,30.0,51.0,77.0,58.0,60.0,29.0,11.0,0.0,141.0,186.0,327.0
2020-06-01,50.0,177.0,294.0,285.0,255.0,151.0,83.0,34.0,0.0,610.0,719.0,1329.0
2020-06-02,31.0,170.0,287.0,293.0,235.0,135.0,66.0,32.0,0.0,560.0,689.0,1249.0
2020-06-03,21.0,192.0,278.0,276.0,242.0,148.0,92.0,31.0,0.0,610.0,670.0,1280.0
2020-06-04,24.0,154.0,226.0,237.0,182.0,122.0,55.0,25.0,0.0,506.0,519.0,1025.0
2020-06-05,36.0,149.0,240.0,238.0,217.0,125.0,74.0,33.0,0.0,520.0,592.0,1112.0
2020-06-06,16.0,56.0,95.0,96.0,82.0,60.0,32.0,9.0,0.0,209.0,237.0,446.0
2020-06-07,2.0,40.0,46.0,61.0,66.0,38.0,18.0,11.0,0.0,133.0,149.0,282.0
2020-06-08,41.0,189.0,264.0,283.0,285.0,154.0,76.0,32.0,0.0,615.0,709.0,1324.0
2020-06-09,32.0,181.0,290.0,263.0,247.0,134.0,70.0,26.0,0.0,591.0,652.0,1243.0
2020-06-10,39.0,155.0,308.0,270.0,247.0,124.0,72.0,29.0,0.0,589.0,655.0,1244.0
2020-06-11,42.0,166.0,228.0,246.0,222.0,128.0,80.0,24.0,0.0,563.0,573.0,1136.0
2020-06-12,30.0,155.0,231.0,245.0,195.0,128.0,62.0,37.0,0.0,502.0,581.0,1083.0
2020-06-13,16.0,45.0,66.0,76.0,81.0,69.0,27.0,19.0,0.0,199.0,200.0,399.0
2020-06-14,10.0,43.0,49.0,74.0,63.0,39.0,33.0,12.0,0.0,154.0,169.0,323.0
2020-06-15,31.0,152.0,202.0,233.0,194.0,122.0,63.0,35.0,0.0,515.0,517.0,1032.0
2020-06-16,34.0,167.0,234.0,269.0,221.0,100.0,59.0,27.0,0.0,554.0,557.0,1111.0
2020-06-17,34.0,174.0,229.0,232.0,225.0,114.0,51.0,26.0,0.0,535.0,550.0,1085.0
2020-06-18,34.0,154.0,214.0,208.0,186.0,95.0,52.0,28.0,0.0,480.0,491.0,971.0
2020-06-19,41.0,159.0,211.0,229.0,187.0,91.0,60.0,29.0,0.0,486.0,521.0,1007.0
2020-06-20,7.0,51.0,71.0,62.0,69.0,38.0,22.0,9.0,0.0,151.0,178.0,329.0
2020-06-21,8.0,37.0,56.0,39.0,53.0,38.0,22.0,7.0,0.0,116.0,144.0,260.0
2020-06-22,32.0,143.0,209.0,244.0,164.0,125.0,56.0,25.0,0.0,473.0,525.0,998.0
2020-06-23,29.0,125.0,205.0,232.0,180.0,101.0,62.0,29.0,0.0,488.0,475.0,963.0
2020-06-24,35.0,138.0,173.0,193.0,194.0,117.0,52.0,29.0,0.0,442.0,489.0,931.0
2020-06-25,51.0,154.0,200.0,194.0,190.0,90.0,43.0,16.0,0.0,450.0,488.0,938.0
2020-06-26,55.0,170.0,200.0,206.0,173.0,95.0,53.0,19.0,0.0,465.0,506.0,971.0
2020-06-27,8.0,27.0,66.0,69.0,62.0,55.0,28.0,10.0,0.0,152.0,173.0,325.0
2020-06-28,5.0,23.0,29.0,58.0,42.0,28.0,21.0,8.0,0.0,90.0,124.0,214.0
2020-06-29,46.0,190.0,264.0,259.0,212.0,155.0,62.0,21.0,0.0,585.0,624.0,1209.0
2020-06-30,50.0,173.0,241.0,273.0,229.0,104.0,74.0,23.0,0.0,577.0,590.0,1167.0
2020-07-01,58.0,164.0,262.0,244.0,197.0,132.0,46.0,22.0,0.0,561.0,564.0,1125.0
2020-07-02,47.0,166.0,201.0,237.0,183.0,92.0,51.0,20.0,0.0,524.0,473.0,997.0
2020-07-03,64.0,195.0,243.0,222.0,171.0,120.0,53.0,15.0,0.0,548.0,535.0,1083.0
2020-07-04,11.0,40.0,69.0,73.0,61.0,39.0,17.0,9.0,0.0,158.0,161.0,319.0
2020-07-05,7.0,31.0,33.0,44.0,47.0,27.0,18.0,13.0,0.0,101.0,119.0,220.0
2020-07-06,43.0,176.0,258.0,251.0,184.0,124.0,74.0,13.0,0.0,518.0,605.0,1123.0
