,0 to 17,18 to 29,30 to 39,40 to 49,50 to 59,60 to 69,70 to 79,80 +,NR,Female confirmed,Male confirmed,Total
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-04,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-08,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-11,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,4.0
2020-03-12,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0
2020-03-13,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
2020-03-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-15,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0
2020-03-16,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0
2020-03-17,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0
2020-03-18,0.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,4.0,5.0
2020-03-19,0.0,0.0,4.0,2.0,0.0,2.0,1.0,0.0,0.0,3.0,6.0,9.0
2020-03-20,0.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,2.0,4.0,6.0
2020-03-21,0.0,2.0,0.0,3.0,1.0,3.0,1.0,0.0,0.0,4.0,6.0,10.0
2020-03-22,0.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,7.0,7.0
2020-03-23,0.0,1.0,2.0,1.0,1.0,3.0,2.0,0.0,0.0,2.0,8.0,10.0
2020-03-24,0.0,0.0,2.0,3.0,2.0,5.0,1.0,0.0,0.0,3.0,10.0,13.0
2020-03-25,0.0,0.0,2.0,4.0,5.0,0.0,0.0,0.0,0.0,3.0,8.0,11.0
2020-03-26,0.0,1.0,4.0,3.0,1.0,3.0,4.0,1.0,0.0,6.0,11.0,17.0
2020-03-27,0.0,1.0,1.0,3.0,7.0,3.0,4.0,0.0,0.0,5.0,14.0,19.0
2020-03-28,0.0,2.0,3.0,5.0,7.0,6.0,3.0,0.0,0.0,9.0,17.0,26.0
2020-03-29,0.0,0.0,2.0,4.0,8.0,2.0,4.0,0.0,0.0,5.0,15.0,20.0
2020-03-30,0.0,1.0,1.0,5.0,9.0,1.0,2.0,3.0,0.0,8.0,14.0,22.0
2020-03-31,0.0,0.0,3.0,3.0,4.0,5.0,1.0,2.0,0.0,8.0,10.0,18.0
2020-04-01,0.0,1.0,4.0,7.0,8.0,2.0,3.0,3.0,0.0,8.0,20.0,28.0
2020-04-02,0.0,2.0,4.0,7.0,9.0,5.0,1.0,2.0,0.0,13.0,17.0,30.0
2020-04-03,0.0,2.0,4.0,11.0,6.0,11.0,2.0,1.0,0.0,13.0,24.0,37.0
2020-04-04,0.0,1.0,5.0,11.0,6.0,8.0,2.0,1.0,0.0,11.0,23.0,34.0
2020-04-05,0.0,3.0,2.0,4.0,13.0,12.0,3.0,2.0,0.0,12.0,27.0,39.0
2020-04-06,0.0,2.0,13.0,10.0,16.0,17.0,3.0,3.0,0.0,18.0,46.0,64.0
2020-04-07,0.0,3.0,9.0,12.0,13.0,14.0,4.0,3.0,0.0,21.0,37.0,58.0
2020-04-08,0.0,4.0,8.0,12.0,14.0,13.0,5.0,3.0,0.0,22.0,37.0,59.0
2020-04-09,0.0,4.0,11.0,10.0,20.0,13.0,4.0,2.0,0.0,21.0,43.0,64.0
2020-04-10,0.0,3.0,6.0,17.0,16.0,12.0,4.0,5.0,0.0,20.0,43.0,63.0
2020-04-11,1.0,3.0,7.0,15.0,14.0,7.0,4.0,3.0,0.0,17.0,37.0,54.0
2020-04-12,1.0,4.0,4.0,19.0,20.0,13.0,8.0,5.0,0.0,28.0,46.0,74.0
2020-04-13,0.0,4.0,7.0,21.0,31.0,23.0,17.0,3.0,0.0,35.0,71.0,106.0
2020-04-14,1.0,3.0,9.0,19.0,21.0,16.0,10.0,8.0,0.0,27.0,60.0,87.0
2020-04-15,2.0,5.0,4.0,20.0,19.0,26.0,22.0,4.0,0.0,33.0,69.0,102.0
2020-04-16,0.0,6.0,17.0,24.0,27.0,20.0,19.0,3.0,0.0,39.0,77.0,116.0
2020-04-17,0.0,3.0,17.0,24.0,17.0,20.0,12.0,3.0,0.0,32.0,64.0,96.0
2020-04-18,4.0,3.0,15.0,26.0,29.0,23.0,11.0,5.0,0.0,40.0,76.0,116.0
2020-04-19,0.0,3.0,16.0,19.0,25.0,21.0,12.0,5.0,0.0,39.0,62.0,101.0
2020-04-20,2.0,11.0,16.0,35.0,40.0,33.0,11.0,5.0,0.0,51.0,102.0,153.0
2020-04-21,0.0,4.0,13.0,34.0,44.0,29.0,11.0,4.0,0.0,31.0,108.0,139.0
2020-04-22,3.0,3.0,18.0,33.0,40.0,21.0,11.0,7.0,0.0,37.0,99.0,136.0
2020-04-23,0.0,6.0,15.0,22.0,44.0,38.0,12.0,5.0,0.0,42.0,100.0,142.0
2020-04-24,1.0,2.0,21.0,40.0,38.0,29.0,13.0,7.0,0.0,44.0,107.0,151.0
2020-04-25,1.0,5.0,16.0,29.0,31.0,33.0,18.0,9.0,0.0,54.0,88.0,142.0
2020-04-26,1.0,4.0,9.0,18.0,34.0,31.0,13.0,7.0,0.0,41.0,76.0,117.0
2020-04-27,7.0,4.0,20.0,36.0,45.0,25.0,23.0,6.0,0.0,55.0,111.0,166.0
2020-04-28,5.0,8.0,15.0,34.0,65.0,39.0,17.0,9.0,0.0,61.0,131.0,192.0
2020-04-29,0.0,10.0,27.0,35.0,52.0,48.0,22.0,9.0,0.0,70.0,133.0,203.0
2020-04-30,0.0,8.0,21.0,45.0,41.0,44.0,27.0,4.0,0.0,70.0,120.0,190.0
2020-05-01,4.0,5.0,19.0,33.0,53.0,36.0,21.0,4.0,0.0,70.0,105.0,175.0
2020-05-02,2.0,6.0,15.0,21.0,35.0,36.0,16.0,5.0,0.0,46.0,90.0,136.0
2020-05-03,1.0,4.0,13.0,24.0,40.0,34.0,22.0,8.0,0.0,49.0,97.0,146.0
2020-05-04,2.0,6.0,20.0,47.0,56.0,35.0,22.0,3.0,0.0,72.0,119.0,191.0
2020-05-05,4.0,10.0,18.0,37.0,61.0,39.0,19.0,8.0,0.0,71.0,125.0,196.0
2020-05-06,2.0,5.0,19.0,43.0,44.0,32.0,18.0,9.0,0.0,62.0,110.0,172.0
2020-05-07,10.0,3.0,22.0,41.0,55.0,41.0,19.0,8.0,0.0,73.0,126.0,199.0
2020-05-08,6.0,5.0,19.0,37.0,61.0,46.0,32.0,8.0,0.0,93.0,121.0,214.0
2020-05-09,3.0,6.0,9.0,31.0,41.0,32.0,18.0,6.0,0.0,46.0,100.0,146.0
2020-05-10,5.0,6.0,22.0,41.0,49.0,55.0,24.0,11.0,0.0,78.0,135.0,213.0
2020-05-11,4.0,12.0,30.0,51.0,53.0,68.0,39.0,16.0,0.0,117.0,156.0,273.0
2020-05-12,2.0,10.0,24.0,47.0,61.0,59.0,23.0,14.0,0.0,84.0,156.0,240.0
2020-05-13,1.0,8.0,25.0,55.0,56.0,45.0,34.0,15.0,0.0,92.0,147.0,239.0
2020-05-14,3.0,5.0,35.0,43.0,66.0,45.0,28.0,15.0,0.0,80.0,160.0,240.0
2020-05-15,5.0,6.0,23.0,53.0,66.0,71.0,40.0,20.0,0.0,110.0,174.0,284.0
2020-05-16,8.0,2.0,18.0,47.0,53.0,50.0,37.0,15.0,0.0,76.0,154.0,230.0
2020-05-17,4.0,5.0,15.0,39.0,32.0,52.0,33.0,10.0,0.0,62.0,128.0,190.0
2020-05-18,3.0,15.0,33.0,55.0,69.0,64.0,39.0,24.0,0.0,109.0,193.0,302.0
2020-05-19,9.0,7.0,27.0,40.0,51.0,55.0,33.0,23.0,0.0,94.0,151.0,245.0
2020-05-20,1.0,12.0,28.0,48.0,67.0,52.0,29.0,18.0,0.0,82.0,173.0,255.0
2020-05-21,7.0,9.0,32.0,38.0,48.0,53.0,44.0,16.0,0.0,87.0,160.0,247.0
2020-05-22,5.0,9.0,24.0,42.0,50.0,47.0,30.0,13.0,0.0,82.0,138.0,220.0
2020-05-23,2.0,7.0,20.0,38.0,47.0,45.0,29.0,11.0,0.0,76.0,123.0,199.0
2020-05-24,6.0,6.0,15.0,38.0,49.0,37.0,23.0,9.0,0.0,62.0,121.0,183.0
2020-05-25,6.0,13.0,30.0,46.0,53.0,66.0,41.0,23.0,0.0,90.0,188.0,278.0
2020-05-26,9.0,7.0,20.0,51.0,56.0,53.0,37.0,18.0,0.0,88.0,163.0,251.0
2020-05-27,8.0,8.0,27.0,41.0,50.0,55.0,26.0,19.0,0.0,78.0,156.0,234.0
2020-05-28,3.0,9.0,21.0,58.0,65.0,65.0,44.0,20.0,0.0,110.0,175.0,285.0
2020-05-29,2.0,6.0,22.0,35.0,57.0,52.0,31.0,10.0,0.0,94.0,121.0,215.0
2020-05-30,2.0,9.0,25.0,54.0,51.0,52.0,38.0,12.0,0.0,89.0,154.0,243.0
2020-05-31,7.0,6.0,16.0,40.0,60.0,49.0,24.0,13.0,0.0,76.0,139.0,215.0
2020-06-01,3.0,11.0,26.0,37.0,70.0,55.0,23.0,20.0,0.0,102.0,143.0,245.0
2020-06-02,4.0,7.0,24.0,42.0,65.0,56.0,31.0,13.0,0.0,90.0,152.0,242.0
2020-06-03,7.0,7.0,27.0,28.0,52.0,52.0,39.0,14.0,0.0,62.0,164.0,226.0
2020-06-04,5.0,7.0,18.0,46.0,46.0,45.0,33.0,14.0,0.0,84.0,130.0,214.0
2020-06-05,2.0,6.0,24.0,48.0,36.0,59.0,34.0,19.0,0.0,93.0,135.0,228.0
2020-06-06,6.0,5.0,15.0,39.0,48.0,38.0,30.0,12.0,0.0,64.0,129.0,193.0
2020-06-07,10.0,8.0,16.0,23.0,55.0,50.0,31.0,16.0,0.0,92.0,117.0,209.0
2020-06-08,6.0,9.0,24.0,33.0,50.0,52.0,31.0,10.0,0.0,81.0,134.0,215.0
2020-06-09,4.0,6.0,20.0,43.0,61.0,48.0,35.0,17.0,0.0,90.0,144.0,234.0
2020-06-10,4.0,12.0,26.0,34.0,49.0,61.0,39.0,18.0,0.0,89.0,154.0,243.0
2020-06-11,7.0,6.0,18.0,32.0,43.0,42.0,31.0,14.0,0.0,67.0,126.0,193.0
2020-06-12,5.0,8.0,15.0,28.0,55.0,44.0,29.0,15.0,0.0,70.0,129.0,199.0
2020-06-13,1.0,4.0,12.0,24.0,40.0,36.0,24.0,14.0,0.0,62.0,93.0,155.0
2020-06-14,1.0,2.0,17.0,31.0,35.0,44.0,36.0,12.0,0.0,51.0,127.0,178.0
2020-06-15,1.0,6.0,26.0,35.0,57.0,41.0,39.0,22.0,0.0,89.0,138.0,227.0
2020-06-16,3.0,3.0,18.0,27.0,54.0,38.0,26.0,12.0,0.0,72.0,109.0,181.0
2020-06-17,2.0,11.0,8.0,36.0,46.0,35.0,29.0,14.0,0.0,66.0,115.0,181.0
2020-06-18,5.0,7.0,15.0,29.0,46.0,42.0,38.0,11.0,0.0,74.0,119.0,193.0
2020-06-19,3.0,5.0,14.0,32.0,44.0,42.0,25.0,15.0,0.0,58.0,122.0,180.0
2020-06-20,2.0,3.0,22.0,16.0,29.0,39.0,28.0,9.0,0.0,55.0,93.0,148.0
2020-06-21,2.0,2.0,15.0,13.0,25.0,30.0,18.0,11.0,0.0,37.0,79.0,116.0
2020-06-22,3.0,3.0,25.0,33.0,47.0,47.0,30.0,14.0,0.0,73.0,129.0,202.0
2020-06-23,4.0,3.0,10.0,39.0,40.0,47.0,21.0,9.0,0.0,58.0,115.0,173.0
2020-06-24,1.0,3.0,11.0,23.0,52.0,38.0,24.0,12.0,0.0,57.0,107.0,164.0
2020-06-25,3.0,12.0,11.0,25.0,37.0,36.0,20.0,12.0,0.0,68.0,88.0,156.0
2020-06-26,2.0,3.0,17.0,21.0,35.0,37.0,30.0,10.0,0.0,55.0,100.0,155.0
2020-06-27,2.0,3.0,15.0,17.0,38.0,32.0,21.0,10.0,0.0,50.0,88.0,138.0
2020-06-28,2.0,4.0,15.0,25.0,35.0,47.0,22.0,10.0,0.0,59.0,101.0,160.0
2020-06-29,7.0,8.0,17.0,34.0,44.0,47.0,40.0,11.0,0.0,83.0,125.0,208.0
2020-06-30,3.0,3.0,14.0,30.0,34.0,34.0,19.0,13.0,0.0,55.0,95.0,150.0
2020-07-01,5.0,3.0,11.0,26.0,34.0,28.0,21.0,14.0,0.0,49.0,93.0,142.0
2020-07-02,5.0,2.0,20.0,26.0,26.0,42.0,20.0,6.0,0.0,54.0,93.0,147.0
2020-07-03,4.0,6.0,10.0,24.0,25.0,28.0,23.0,10.0,0.0,58.0,72.0,130.0
2020-07-04,2.0,1.0,10.0,19.0,30.0,25.0,21.0,8.0,0.0,30.0,86.0,116.0
2020-07-05,5.0,4.0,9.0,22.0,27.0,23.0,17.0,4.0,0.0,37.0,74.0,111.0
2020-07-06,5.0,6.0,9.0,36.0,41.0,38.0,25.0,19.0,0.0,71.0,108.0,179.0
2020-07-07,2.0,4.0,14.0,20.0,34.0,38.0,23.0,12.0,0.0,51.0,96.0,147.0
