,Total Tests,Positive Tests,Tests Rate (%)
2020-03-01,0.0,0.0,0.0
2020-03-02,0.0,0.0,0.0
2020-03-03,0.0,0.0,0.0
2020-03-04,0.0,0.0,0.0
2020-03-05,50.0,1.0,0.02
2020-03-06,0.0,0.0,0.0
2020-03-07,0.0,0.0,0.0
2020-03-08,0.0,0.0,0.0
2020-03-09,0.0,0.0,0.0
2020-03-10,0.0,0.0,0.0
2020-03-11,0.0,0.0,0.0
2020-03-12,0.0,0.0,0.0
2020-03-13,46.0,1.0,0.0217
2020-03-14,0.0,0.0,0.0
2020-03-15,0.0,0.0,0.0
2020-03-16,0.0,0.0,0.0
2020-03-17,65.0,1.0,0.0154
2020-03-18,0.0,0.0,0.0
2020-03-19,67.0,3.0,0.0448
2020-03-20,0.0,0.0,0.0
2020-03-21,0.0,0.0,0.0
2020-03-22,0.0,0.0,0.0
2020-03-23,0.0,0.0,0.0
2020-03-24,60.0,1.0,0.0167
2020-03-25,0.0,0.0,0.0
2020-03-26,51.0,1.0,0.0196
2020-03-27,30.0,4.0,0.1333
2020-03-28,3.0,1.0,0.3333
2020-03-29,16.0,6.0,0.375
2020-03-30,47.0,3.0,0.0638
2020-03-31,24.0,4.0,0.1667
2020-04-01,16.0,1.0,0.0625
2020-04-02,35.0,3.0,0.0857
2020-04-03,24.0,4.0,0.1667
2020-04-04,69.0,16.0,0.2319
2020-04-05,2176.0,495.0,0.2275
2020-04-06,811.0,188.0,0.2318
2020-04-07,1066.0,153.0,0.1435
2020-04-08,993.0,184.0,0.1853
2020-04-09,496.0,91.0,0.1835
2020-04-10,594.0,144.0,0.2424
2020-04-11,223.0,73.0,0.3274
2020-04-12,135.0,62.0,0.4593
2020-04-13,734.0,233.0,0.3174
2020-04-14,728.0,207.0,0.2843
2020-04-15,761.0,254.0,0.3338
2020-04-16,1051.0,280.0,0.2664
2020-04-17,1068.0,291.0,0.2725
2020-04-18,428.0,87.0,0.2033
2020-04-19,228.0,117.0,0.5132
2020-04-20,937.0,365.0,0.3895
2020-04-21,1294.0,369.0,0.2852
2020-04-22,1549.0,435.0,0.2808
2020-04-23,1163.0,396.0,0.3405
2020-04-24,1324.0,489.0,0.3693
2020-04-25,446.0,219.0,0.491
2020-04-26,351.0,149.0,0.4245
2020-04-27,1409.0,554.0,0.3932
2020-04-28,1404.0,466.0,0.3319
2020-04-29,1604.0,606.0,0.3778
2020-04-30,1592.0,501.0,0.3147
2020-05-01,606.0,190.0,0.3135
2020-05-02,577.0,228.0,0.3951
2020-05-03,499.0,197.0,0.3948
2020-05-04,1657.0,624.0,0.3766
2020-05-05,1370.0,514.0,0.3752
2020-05-06,1781.0,588.0,0.3302
2020-05-07,1847.0,600.0,0.3249
2020-05-08,2002.0,760.0,0.3796
2020-05-09,685.0,311.0,0.454
2020-05-10,417.0,179.0,0.4293
2020-05-11,1757.0,706.0,0.4018
2020-05-12,1902.0,832.0,0.4374
2020-05-13,1965.0,912.0,0.4641
2020-05-14,1875.0,810.0,0.432
2020-05-15,2198.0,982.0,0.4468
2020-05-16,799.0,379.0,0.4743
2020-05-17,523.0,254.0,0.4857
2020-05-18,2210.0,960.0,0.4344
2020-05-19,2122.0,994.0,0.4684
2020-05-20,2146.0,1026.0,0.4781
2020-05-21,2279.0,1004.0,0.4405
2020-05-22,2267.0,953.0,0.4204
2020-05-23,809.0,339.0,0.419
2020-05-24,522.0,255.0,0.4885
